(A) + (B);Produção da Equipe;[(A) + (B)] / (D);(E) + (F) + (G) + (H);BDI:23,01%;Preço Unitário Total
62,52;0,00;1,0000;0,00;65,45;15,06;
80,51;0,00;1,0000;0,00;93,27;21,46;
114,73;0,00;1,0000;0,00;23,50;5,40;
28,90;0,00;1,0000;0,00;21,16;4,86;
26,02;0,00;1,0000;0,00;30,86;7,10;
37,96;0,00;1,0000;0,00;28,52;6,56;
35,08;0,00;1,0000;0,00;41,98;9,65;
51,63;0,00;1,0000;0,00;39,66;9,12;
48,78;0,00;1,0000;0,00;53,39;12,28;
65,67;0,00;1,0000;0,00;55,71;12,81;
68,52;0,00;1,0000;0,00;18,86;4,33;
23,19;0,00;1,0000;0,00;19,24;4,42;
23,66;0,00;1,0000;0,00;19,51;4,48;
23,99;0,00;1,0000;0,00;19,88;4,57;
24,45;0,00;1,0000;0,00;20,42;4,69;
25,11;0,00;1,0000;0,00;10,60;2,43;
13,03;0,00;1,0000;0,00;71,66;16,48;
88,14;0,00;1,0000;0,00;21,15;4,86;
26,01;0,00;1,0000;0,00;25,47;5,86;
31,33;0,00;1,0000;0,00;39,94;9,19;
49,13;0,00;1,0000;0,00;42,42;9,76;
52,18;0,00;1,0000;0,00;119,94;27,59;
147,53;0,00;1,0000;0,00;50,65;11,65;
62,30;0,00;1,0000;0,00;57,57;13,24;
70,81;0,00;1,0000;0,00;59,59;13,71;
73,30;0,00;1,0000;0,00;12,73;2,92;
15,65;0,00;1,0000;0,00;5,60;1,28;
6,88;0,00;1,0000;0,00;12,16;2,79;
14,95;0,00;1,0000;0,00;532,82;122,60;
655,42;0,00;1,0000;0,00;812,45;186,94;
999,39;0,00;1,0000;0,00;616,02;141,74;
757,76;0,00;1,0000;0,00;1.143,84;263,19;
1.407,03;0,00;1,0000;0,00;405,74;93,36;
499,10;0,00;1,0000;0,00;465,95;107,21;
573,16;0,00;1,0000;0,00;1.170,73;269,38;
1.440,11;0,00;1,0000;0,00;497,88;114,56;
612,44;0,00;1,0000;0,00;1.342,19;308,83;
1.651,02;0,00;1,0000;0,00;1.864,10;428,92;
2.293,02;0,00;1,0000;0,00;1.363,39;313,71;
1.677,10;0,00;1,0000;0,00;1.698,66;390,86;
2.089,52;0,00;1,0000;0,00;2.349,72;540,67;
2.890,39;0,00;1,0000;0,00;1.307,59;300,87;
1.608,46;0,00;1,0000;0,00;1.906,88;438,77;
2.345,65;0,00;1,0000;0,00;586,04;134,84;
720,88;0,00;1,0000;0,00;860,96;198,10;
1.059,06;0,00;1,0000;0,00;1.302,63;299,73;
1.602,36;0,00;1,0000;0,00;1.861,66;428,36;
2.290,02;0,00;1,0000;0,00;1.647,33;379,05;
2.026,38;0,00;1,0000;0,00;2.335,53;537,40;
2.872,93;0,00;1,0000;0,00;25,45;5,85;
31,30;0,00;1,0000;0,00;25,45;5,85;
31,30;0,00;1,0000;0,00;25,45;5,85;
31,30;0,00;1,0000;0,00;26,14;6,01;
32,15;0,00;1,0000;0,00;26,83;6,17;
33,00;0,00;1,0000;0,00;134,90;31,04;
165,94;0,00;1,0000;0,00;203,04;46,71;
249,75;0,00;1,0000;0,00;283,24;65,17;
348,41;0,00;1,0000;0,00;410,54;94,46;
505,00;0,00;1,0000;0,00;819,00;188,45;
1.007,45;0,00;1,0000;0,00;1.154,74;265,70;
1.420,44;0,00;1,0000;0,00;1.895,04;436,04;
2.331,08;0,00;1,0000;0,00;180,99;41,64;
222,63;0,00;1,0000;0,00;200,69;46,17;
246,86;0,00;1,0000;0,00;240,06;55,23;
295,29;0,00;1,0000;0,00;285,99;65,80;
351,79;0,00;1,0000;0,00;336,48;77,42;
413,90;0,00;1,0000;0,00;386,98;89,04;
476,02;0,00;1,0000;0,00;571,13;131,41;
702,54;0,00;1,0000;0,00;385,33;88,66;
473,99;0,00;1,0000;0,00;447,27;102,91;
550,18;0,00;1,0000;0,00;719,86;165,63;
885,49;0,00;1,0000;0,00;498,75;114,76;
613,51;0,00;1,0000;0,00;572,45;131,72;
704,17;0,00;1,0000;0,00;646,15;148,67;
794,82;0,00;1,0000;0,00;926,54;213,19;
1.139,73;0,00;1,0000;0,00;626,19;144,08;
770,27;0,00;1,0000;0,00;712,00;163,83;
875,83;0,00;1,0000;0,00;797,81;183,57;
981,38;0,00;1,0000;0,00;1.062,41;244,46;
1.306,87;0,00;1,0000;0,00;1.258,92;289,67;
1.548,59;0,00;1,0000;0,00;767,65;176,63;
944,28;0,00;1,0000;0,00;865,90;199,24;
1.065,14;0,00;1,0000;0,00;964,16;221,85;
1.186,01;0,00;1,0000;0,00;1.256,23;289,05;
1.545,28;0,00;1,0000;0,00;1.478,29;340,15;
1.818,44;0,00;1,0000;0,00;1.034,18;237,96;
1.272,14;0,00;1,0000;0,00;1.145,20;263,51;
1.408,71;0,00;1,0000;0,00;185,34;42,64;
227,98;0,00;1,0000;0,00;171,79;39,52;
211,31;0,00;1,0000;0,00;253,33;58,29;
311,62;0,00;1,0000;0,00;602,51;138,63;
741,14;0,00;1,0000;0,00;788,70;181,47;
970,17;0,00;1,0000;0,00;105,84;24,35;
130,19;0,00;1,0000;0,00;134,59;30,96;
165,55;0,00;1,0000;0,00;164,92;37,94;
202,86;0,00;1,0000;0,00;318,45;73,27;
391,72;0,00;1,0000;0,00;166,97;38,41;
205,38;0,00;1,0000;0,00;217,46;50,03;
267,49;0,00;1,0000;0,00;267,96;61,65;
329,61;0,00;1,0000;0,00;398,09;91,60;
489,69;0,00;1,0000;0,00;212,30;48,85;
261,15;0,00;1,0000;0,00;186,46;42,90;
229,36;0,00;1,0000;0,00;274,23;63,10;
337,33;0,00;1,0000;0,00;336,17;77,35;
413,52;0,00;1,0000;0,00;482,63;111,05;
593,68;0,00;1,0000;0,00;261,51;60,17;
321,68;0,00;1,0000;0,00;335,21;77,13;
412,34;0,00;1,0000;0,00;353,64;81,37;
435,01;0,00;1,0000;0,00;369,90;85,11;
455,01;0,00;1,0000;0,00;390,50;89,85;
480,35;0,00;1,0000;0,00;408,91;94,09;
503,00;0,00;1,0000;0,00;427,35;98,33;
525,68;0,00;1,0000;0,00;628,00;144,50;
772,50;0,00;1,0000;0,00;327,65;75,39;
403,04;0,00;1,0000;0,00;413,46;95,13;
508,59;0,00;1,0000;0,00;499,27;114,88;
