
400;145,14;33,39;178,53;
401;18,30;4,21;22,51;
402;177,40;40,81;218,21;
403;230,05;52,93;282,98;
404;4,32;0,99;5,31;
405;27,55;6,33;33,88;
406;280,44;64,52;344,96;
407;37,11;8,53;45,64;
408;5,99;1,37;7,36;
409;51,65;11,88;63,53;
410;8,91;2,05;10,96;
411;71,50;16,45;87,95;
412;92,83;21,36;114,19;
413;12,97;2,98;15,95;
414;2,62;0,60;3,22;
415;18,24;4,19;22,43;
416;4,22;0,97;5,19;
417;26,85;6,17;33,02;
418;36,14;8,31;44,45;
419;5,89;1,35;7,24;
420;8,40;1,93;10,33;
421;12,72;2,92;15,64;
422;19,05;4,38;23,43;
423;26,56;6,11;32,67;
424;36,84;8,47;45,31;
425;50,83;11,69;62,52;
426;65,45;15,06;80,51;
427;93,27;21,46;114,73;
429;23,50;5,40;28,90;
431;21,16;4,86;26,02;
433;30,86;7,10;37,96;
435;28,52;6,56;35,08;
437;41,98;9,65;51,63;
439;39,66;9,12;48,78;
441;53,39;12,28;65,67;
443;55,71;12,81;68,52;
444;18,86;4,33;23,19;
445;19,24;4,42;23,66;
446;19,51;4,48;23,99;
447;19,88;4,57;24,45;
448;20,42;4,69;25,11;
449;10,60;2,43;13,03;
450;71,66;16,48;88,14;
451;21,15;4,86;26,01;
452;25,47;5,86;31,33;
453;39,94;9,19;49,13;
454;42,42;9,76;52,18;
455;119,94;27,59;147,53;
456;50,65;11,65;62,30;
457;57,57;13,24;70,81;
458;59,59;13,71;73,30;
459;12,73;2,92;15,65;
460;5,60;1,28;6,88;
461;12,16;2,79;14,95;
463;532,82;122,60;655,42;
465;812,45;186,94;999,39;
467;616,02;141,74;757,76;
469;1.143,84;263,19;1.407,03;
471;405,74;93,36;499,10;
473;465,95;107,21;573,16;
475;1.170,73;269,38;1.440,11;
477;497,88;114,56;612,44;
479;1.342,19;308,83;1.651,02;
481;1.864,10;428,92;2.293,02;
482;1.363,39;313,71;1.677,10;
485;1.698,66;390,86;2.089,52;
487;2.349,72;540,67;2.890,39;
489;1.307,59;300,87;1.608,46;
491;1.906,88;438,77;2.345,65;
493;586,04;134,84;720,88;
495;860,96;198,10;1.059,06;
497;1.302,63;299,73;1.602,36;
499;1.861,66;428,36;2.290,02;
501;1.647,33;379,05;2.026,38;
503;2.335,53;537,40;2.872,93;
504;25,45;5,85;31,30;
505;25,45;5,85;31,30;
506;25,45;5,85;31,30;
507;26,14;6,01;32,15;
508;26,83;6,17;33,00;
509;134,90;31,04;165,94;
510;203,04;46,71;249,75;
511;283,24;65,17;348,41;
512;410,54;94,46;505,00;
513;819,00;188,45;1.007,45;
515;1.154,74;265,70;1.420,44;
517;1.895,04;436,04;2.331,08;
519;180,99;41,64;222,63;
521;200,69;46,17;246,86;
523;240,06;55,23;295,29;
525;285,99;65,80;351,79;
527;336,48;77,42;413,90;
529;386,98;89,04;476,02;
531;571,13;131,41;702,54;
533;385,33;88,66;473,99;
535;447,27;102,91;550,18;
537;719,86;165,63;885,49;
539;498,75;114,76;613,51;
541;572,45;131,72;704,17;
543;646,15;148,67;794,82;
545;926,54;213,19;1.139,73;
547;626,19;144,08;770,27;
549;712,00;163,83;875,83;
551;797,81;183,57;981,38;
553;1.062,41;244,46;1.306,87;
555;1.258,92;289,67;1.548,59;
557;767,65;176,63;944,28;
559;865,90;199,24;1.065,14;
